name,latitude,longitude
Metropolitan Museum of Art,40.7794179,-73.9632867
Museo Del Prado,40.41232,-3.69343
"Musée Nacional d'Art Moderne, Centre Georges Pompidou, Paris",48.860642,2.352245
"Tate Modern, London",51.507721,-0.0991941
 Museum of Modern Art,40.7614327,-73.9776216
Mauritshuis,52.0804205,4.3143013
Museo Nacional Centro de Arte Reina Sofía,40.4079123,3.6945569
Neue Galerie New York,40.781264,-73.9603267
"National Gallery, London",51.508929,-0.128299
Museum of Fine Arts,42.339381,-71.094048
Peabody Essex Museum,42.5217295,-70.8922396
Isabella Stewart Gardner Museum,42.33818,-71.099121
The Institute of Contemporary Art,42.3528824,-71.043011